   Tempo_min       X_0cm           X_1cm           X_2cm           X_3cm           X_4cm           X_5cm           X_6cm           X_7cm           X_8cm           X_9cm           X_10cm          H_0cm           H_1cm           H_2cm           H_3cm           H_4cm           H_5cm           H_6cm           H_7cm           H_8cm           H_9cm           H_10cm          T_0cm           T_1cm           T_2cm           T_3cm           T_4cm           T_5cm           T_6cm           T_7cm           T_8cm           T_9cm           T_10cm
   0.0000000e+00   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01
   2.7777778e-07   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   4.5000000e-01   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   1.6000000e-02   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01   2.0800000e+01
   5.5558333e-03   4.4351515e-01   4.4925488e-01   4.5116632e-01   4.5141912e-01   4.5144211e-01   4.5144378e-01   4.5144372e-01   4.5144353e-01   4.5144333e-01   4.5144313e-01   4.5144293e-01   1.6002322e-02   1.6003346e-02   1.6003496e-02   1.6003468e-02   1.6003418e-02   1.6003366e-02   1.6003314e-02   1.6003262e-02   1.6003210e-02   1.6003157e-02   1.6003104e-02   3.4843225e+01   2.4289512e+01   2.2346416e+01   2.2101329e+01   2.2074649e+01   2.2071920e+01   2.2071523e+01   2.2071329e+01   2.2071151e+01   2.2070974e+01   2.2070797e+01
   1.1111389e-02   4.3362807e-01   4.4390845e-01   4.4972094e-01   4.5124938e-01   4.5148107e-01   4.5151043e-01   4.5151387e-01   4.5151423e-01   4.5151425e-01   4.5151423e-01   4.5151421e-01   1.6002653e-02   1.6004260e-02   1.6004825e-02   1.6004927e-02   1.6004938e-02   1.6004937e-02   1.6004933e-02   1.6004929e-02   1.6004925e-02   1.6004921e-02   1.6004917e-02   4.0308869e+01   2.7326765e+01   2.3077207e+01   2.2277881e+01   2.2154177e+01   2.2136396e+01   2.2133971e+01   2.2133643e+01   2.2133585e+01   2.2133560e+01   2.2133538e+01
   1.6666944e-02   4.2298025e-01   4.3705875e-01   4.4687784e-01   4.5063488e-01   4.5138450e-01   4.5150059e-01   4.5151727e-01   4.5151957e-01   4.5151987e-01   4.5151991e-01   4.5151991e-01   1.6002748e-02   1.6004599e-02   1.6005465e-02   1.6005675e-02   1.6005712e-02   1.6005717e-02   1.6005717e-02   1.6005717e-02   1.6005716e-02   1.6005716e-02   1.6005715e-02   4.2718722e+01   2.9688640e+01   2.3840001e+01   2.2440115e+01   2.2188241e+01   2.2146459e+01   2.2139782e+01   2.2138748e+01   2.2138592e+01   2.2138568e+01   2.2138562e+01
   2.2222500e-02   4.1216477e-01   4.2954756e-01   4.4306119e-01   4.4961024e-01   4.5119257e-01   4.5146879e-01   4.5151285e-01   4.5151964e-01   4.5152067e-01   4.5152082e-01   4.5152084e-01   1.6002752e-02   1.6004714e-02   1.6005779e-02   1.6006088e-02   1.6006149e-02   1.6006160e-02   1.6006161e-02   1.6006161e-02   1.6006161e-02   1.6006161e-02   1.6006161e-02   4.3877882e+01   3.1296414e+01   2.4536996e+01   2.2606047e+01   2.2222341e+01   2.2153670e+01   2.2141789e+01   2.2139778e+01   2.2139444e+01   2.2139390e+01   2.2139381e+01
   2.7778056e-02   4.0141505e-01   4.2173981e-01   4.3861751e-01   4.4822565e-01   4.5090764e-01   4.5141736e-01   4.5150416e-01   4.5151847e-01   4.5152078e-01   4.5152115e-01   4.5152121e-01   1.6002720e-02   1.6004729e-02   1.6005919e-02   1.6006312e-02   1.6006396e-02   1.6006411e-02   1.6006414e-02   1.6006414e-02   1.6006414e-02   1.6006414e-02   1.6006414e-02   4.4526354e+01   3.2356605e+01   2.5115458e+01   2.2760223e+01   2.2255643e+01   2.2160679e+01   2.2143440e+01   2.2140364e+01   2.2139824e+01   2.2139730e+01   2.2139714e+01
   3.3333611e-02   3.9082316e-01   4.1381786e-01   4.3378162e-01   4.4654827e-01   4.5053768e-01   4.5134713e-01   4.5149149e-01   4.5151636e-01   4.5152058e-01   4.5152128e-01   4.5152140e-01   1.6002674e-02   1.6004697e-02   1.6005965e-02   1.6006424e-02   1.6006529e-02   1.6006549e-02   1.6006552e-02   1.6006553e-02   1.6006553e-02   1.6006553e-02   1.6006553e-02   4.4967892e+01   3.3088688e+01   2.5581335e+01   2.2896356e+01   2.2286335e+01   2.2167261e+01   2.2144928e+01   2.2140806e+01   2.2140053e+01   2.2139918e+01   2.2139893e+01
   3.8889167e-02   3.8042448e-01   4.0587500e-01   4.2869862e-01   4.4463912e-01   4.5009320e-01   4.5125970e-01   4.5147511e-01   4.5151341e-01   4.5152012e-01   4.5152129e-01   4.5152149e-01   1.6002622e-02   1.6004644e-02   1.6005963e-02   1.6006475e-02   1.6006597e-02   1.6006621e-02   1.6006626e-02   1.6006626e-02   1.6006627e-02   1.6006627e-02   1.6006626e-02   4.5326798e+01   3.3646766e+01   2.5966651e+01   2.3016609e+01   2.2314257e+01   2.2173330e+01   2.2146275e+01   2.2141159e+01   2.2140201e+01   2.2140023e+01   2.2139991e+01
   4.4444722e-02   3.7023118e-01   3.9795661e-01   4.2345026e-01   4.4254089e-01   4.4958287e-01   4.5115659e-01   4.5145529e-01   4.5150970e-01   4.5151947e-01   4.5152121e-01   4.5152152e-01   1.6002569e-02   1.6004581e-02   1.6005934e-02   1.6006491e-02   1.6006628e-02   1.6006657e-02   1.6006662e-02   1.6006663e-02   1.6006663e-02   1.6006663e-02   1.6006663e-02   4.5651342e+01   3.4117838e+01   2.6304063e+01   2.3126765e+01   2.2340292e+01   2.2179022e+01   2.2147519e+01   2.2141458e+01   2.2140302e+01   2.2140083e+01   2.2140042e+01
