   Tempo_min  X_1cm       X_5cm       X_10cm      T_1cm       T_5cm       T_10cm 
   0.          0.45        0.45        0.45        20.8        20.8        20.8     
   0.0000167   0.45        0.45        0.45        20.8        20.8        20.8     
   0.33335     0.4492555   0.4514429   0.451442    24.292863   22.071141   22.070016
   0.6666833   0.4439086   0.4515102   0.451514    27.329363   22.136212   22.133341
   1.0000167   0.4370584   0.4515005   0.4515199   29.688525   22.146445   22.138528
   1.33335     0.4295464   0.4514687   0.4515208   31.293335   22.153689   22.139375
   1.6666833   0.4217387   0.4514172   0.4515212   32.351884   22.1607     22.139712
   2.0000167   0.4138175   0.4513469   0.4515214   33.08446    22.167272   22.139892
   2.33335     0.405875    0.4512594   0.4515215   33.64288    22.173328   22.139989
   2.6666833   0.3979572   0.4511563   0.4515215   34.114921   22.179013   22.14004 
   3.0000167   0.3900869   0.4510385   0.4515215   34.546523   22.184562   22.140066
   3.33335     0.3822759   0.4509064   0.4515215   34.960165   22.190199   22.140079
   3.6666833   0.3745308   0.4507597   0.4515215   35.366272   22.196101   22.140086
   4.0000167   0.3668559   0.4505977   0.4515214   35.769423   22.202399   22.140089
   4.33335     0.3592541   0.4504194   0.4515214   36.17149    22.20919    22.140092
   4.6666833   0.3517282   0.4502236   0.4515213   36.573127   22.216552   22.140094
   5.0000167   0.3442804   0.450009    0.4515212   36.97446    22.224552   22.140095
   5.33335     0.3369128   0.449774    0.4515211   37.375395   22.233258   22.140097
   5.6666833   0.3296274   0.449517    0.451521    37.775748   22.242735   22.1401  
   6.0000167   0.3224262   0.4492363   0.4515209   38.175303   22.253055   22.140103
   6.33335     0.3153107   0.4489297   0.4515208   38.573837   22.264292   22.140106
   6.6666833   0.3082827   0.4485954   0.4515207   38.971126   22.276529   22.14011 
   7.0000167   0.3013437   0.4482311   0.4515205   39.366952   22.289853   22.140114
   7.33335     0.2944953   0.4478344   0.4515204   39.7611     22.30436    22.140119
   7.6666833   0.2877386   0.4474028   0.4515202   40.153365   22.320155   22.140124
   8.0000167   0.281075    0.4469335   0.45152     40.543545   22.337348   22.14013 
   8.33335     0.2745057   0.4464237   0.4515198   40.931445   22.356063   22.140137
   8.6666833   0.2680317   0.4458702   0.4515196   41.316879   22.37643    22.140144
   9.0000167   0.2616539   0.4452699   0.4515193   41.699663   22.398593   22.140153
   9.33335     0.2553732   0.4446194   0.451519    42.079622   22.422703   22.140163
   9.6666833   0.2491905   0.4439149   0.4515187   42.456588   22.448928   22.140173
   10.         0.2491905   0.4439149   0.4515187   42.456588   22.448928   22.140173
   10.333333   0.244356    0.4436885   0.4444318   30.08967    22.185878   35.205651
   10.666667   0.2422108   0.4436953   0.4344585   24.683845   22.178095   40.435108
